Jabatan 1,Jabatan 2
KEPALA SUB BAGIAN ADMINISTRASI ANGGOTA KPU DAN BADAN AD HOC WILAYAH I,KEPALA SUBBAGIAN ADMINISTRASI ANGGOTA KPU DAN BADAN AD HOC WILAYAH I
KEPALA SUB BAGIAN ADMINISTRASI ANGGOTA KPU DAN BADAN AD HOC WILAYAH II,KEPALA SUBBAGIAN ADMINISTRASI ANGGOTA KPU DAN BADAN AD HOC WILAYAH II
KEPALA SUB BAGIAN ADMINISTRASI PERJALANAN DINAS DAN TRANSPORTASI,KEPALA SUBBAGIAN ADMINISTRASI PERJALANAN DINAS DAN TRANSPORTASI
KEPALA SUB BAGIAN DAERAH PEMILIHAN DAN ALOKASI KURSI,KEPALA SUBBAGIAN DAERAH PEMILIHAN DAN ALOKASI KURSI
KEPALA SUB BAGIAN DANA KAMPANYE,KEPALA SUBBAGIAN DANA KAMPANYE
KEPALA SUB BAGIAN DATA DAN INFORMASI,KEPALA SUBBAGIAN DATA DAN INFORMASI
KEPALA SUB BAGIAN DESAIN SURAT SUARA DAN DOKUMENTASI,KEPALA SUBBAGIAN DESAIN SURAT SUARA DAN DOKUMENTASI
KEPALA SUB BAGIAN EVALUASI DAN INFORMASI TINDAK LANJUT HASIL PENGAWASAN,KEPALA SUBBAGIAN EVALUASI DAN INFORMASI TINDAK LANJUT HASIL PENGAWASAN
KEPALA SUB BAGIAN EVALUASI PELAKSANAAN KEGIATAN,KEPALA SUBBAGIAN EVALUASI PELAKSANAAN KEGIATAN
KEPALA SUB BAGIAN FASILITASI ADMINISTRASI JABATAN FUNGSIONAL AUDITOR,KEPALA SUBBAGIAN FASILITASI ADMINISTRASI JABATAN FUNGSIONAL AUDITOR
KEPALA SUB BAGIAN FASILITASI ADMINISTRASI KERJA SAMA DALAM NEGERI,KEPALA SUBBAGIAN FASILITASI ADMINISTRASI KERJA SAMA DALAM NEGERI
KEPALA SUB BAGIAN FASILITASI ADMINISTRASI KERJA SAMA LUAR NEGERI,KEPALA SUBBAGIAN FASILITASI ADMINISTRASI KERJA SAMA LUAR NEGERI
KEPALA SUB BAGIAN HUBUNGAN ANTAR LEMBAGA NON PEMERINTAH DAN LEMBAGA KEMASYARAKATAN,KEPALA SUBBAGIAN HUBUNGAN ANTAR LEMBAGA NON PEMERINTAH DAN LEMBAGA KEMASYARAKATAN
KEPALA SUB BAGIAN HUBUNGAN ANTAR LEMBAGA PEMERINTAH,KEPALA SUBBAGIAN HUBUNGAN ANTAR LEMBAGA PEMERINTAH
KEPALA SUB BAGIAN HUKUM,KEPALA SUBBAGIAN HUKUM
KEPALA SUB BAGIAN HUKUM DAN SUMBER DAYA MANUSIA,KEPALA SUBBAGIAN HUKUM DAN SUMBER DAYA MANUSIA
KEPALA SUB BAGIAN KAMPANYE,KEPALA SUBBAGIAN KAMPANYE
KEPALA SUB BAGIAN KEUANGAN,KEPALA SUBBAGIAN KEUANGAN
"KEPALA SUB BAGIAN KEUANGAN, UMUM DAN LOGISTIK","KEPALA SUBBAGIAN KEUANGAN, UMUM DAN LOGISTIK"
KEPALA SUB BAGIAN MONITORING PELAKSANAAN KEGIATAN,KEPALA SUBBAGIAN MONITORING PELAKSANAAN KEGIATAN
KEPALA SUB BAGIAN MUTASI DAN PENSIUN,KEPALA SUBBAGIAN MUTASI DAN PENSIUN
KEPALA SUB BAGIAN ORGANISASI,KEPALA SUBBAGIAN ORGANISASI
KEPALA SUB BAGIAN PARTAI POLITIK PESERTA PEMILU,KEPALA SUBBAGIAN PARTAI POLITIK PESERTA PEMILU
